,Video,Likes,Shares,Comments,Content Overview,Subtitles,Video Style,Number of Scenes,Average Scene Length
0,1,453 900,6411,4310,Language Learning Game,Yes,1,7,4.05
1,2,315 300,3310,3001,Language Learning Game,Yes,1,5,5.28
2,3,68 700,629,828,Medical Simulator,Yes,2,6,1.6
3,4,63 700,9261,654,Language Learning Game,Yes,1,5,5.18
4,5,22 006,818,546,Sports Game (Football),No,2,13,2.34
5,6,18 800,429,279,Train Driving Simulator,Yes,1,33,2.4
6,7,9970,61,634,Ocean Exploration Software,Yes,2,20,0.93
7,8,9621,53,220,Sports Game (Boxing),Yes,2,1,8.99
8,9,6733,131,129,Sports Game (Football),No,2,11,2.0
9,10,4536,44,157,Cooking Game,Yes,2,8,1.63
10,11,4318,14,120,Language Learning Game,Yes,1,4,4.6
11,12,4052,68,32,Medical Simulator,,2,2,1.68
12,13,3588,20,76,Sports Game (Cricket),No,1,1,12.37
13,14,3245,60,60,Welding Simulation Software,Yes,3,8,3.27
14,15,2702,38,12,Musical Game,Yes,3,20,4.5
15,16,2481,136,21,Art Design Software,,2,13,4.62
16,17,2340,376,255,Public Speaking Training Software,Yes ,3,18,3.84
17,18,1607,3,50,Musical Game,No,1,31,1.13
18,19,1538,38,23,Language Learning Game,Yes,1,11,2.36
19,20,1470,3,8,Medical Simulator,Yes,2,1,8.97
20,21,1393,108,71,Firearm Training Simulator,No,2,3,19.63
21,22,1223,10,35,Language Learning Game,Yes,1,8,3.1
22,23,1154,16,45,Driving Simulation Game,No,1,3,18.84
23,24,1115,8,20,Art Design Software,Yes,2,3,15.44
24,25,1083,11,23,Musical Game,Yes,2,5,1.66
25,26,749,6,35,Science Learning Game,Yes,1,9,2.72
26,27,708,9,21,Sports Game (Basketball),Yes,2,6,9.01
27,28,550,0,9,Musical Game,,2,10,1.85
28,29,530,16,17,Driving Simulation Game,,2,5,5.9
29,30,350,32,15,VR Discussion,,2,6,5.01
30,31,286,8,12,VR Discussion,Yes,3,22,3.56
31,32,275,3,12,VR Discussion,Yes,2,8,2.69
32,33,244,2,22,Language Learning Game,No,1,31,2.06
33,34,236,14,6,Medical Simulator,Yes,3,2,8.88
34,35,224,23,44,Language Learning Game,Yes,1,6,3.07
35,36,222,8,5,VR Discussion,Yes,4,14,5.3
36,37,186,6,11,Sports Game (Baseball),No,3,8,1.5
37,38,178,8,13,Cooking Game,,1,12,1.67
38,39,143,10,9,VR Discussion,,4,1,15.0
39,40,137,1,7,Car Crash Simulator,No,2,5,3.21
